,foxWolframR1,foxWolframR2,foxWolframR3,foxWolframR4,harmonicMomentThrust0,harmonicMomentThrust1,harmonicMomentThrust2,harmonicMomentThrust3,harmonicMomentThrust4,cleoConeThrust0,cleoConeThrust1,cleoConeThrust2,cleoConeThrust3,cleoConeThrust4,cleoConeThrust5,cleoConeThrust6,cleoConeThrust7,cleoConeThrust8,sphericity,aplanarity,thrust,thrustAxisCosTheta,sample,label,isBB
35,0.015531951561570168,0.31195178627967834,0.04788899049162865,0.06330815702676773,0.9219307899475098,-0.10431668162345886,0.5043210983276367,0.07688309997320175,0.16236993670463562,0.0,3.6062209606170654,1.0961072444915771,2.838660955429077,0.7380644679069519,0.3731845021247864,0.5654594302177429,0.5359227061271667,0.0,0.26152854412794113,0.06895606778562069,0.8135881423950195,0.5954555434090861,ccbar,ccbar,0
651,0.0010399323655292392,0.25329405069351196,0.06250844150781631,0.10674261301755905,0.9819827079772949,0.015147185884416103,0.4642699062824249,-0.11140070110559464,0.07350600510835648,0.0,1.8664385080337524,3.323134660720825,1.7984733581542969,1.9721063375473022,0.09925477206707001,0.5755552649497986,0.11345526576042175,0.6405243873596191,0.40368734300136566,0.05569855123758316,0.7755828499794006,0.32733843187465944,charged,bbbar,1
244,0.00807919166982174,0.47599077224731445,0.10676915943622589,0.22304628789424896,0.9407116770744324,-0.06011701375246048,0.6443996429443359,0.1859177201986313,0.3605005145072937,3.5986125469207764,0.3542359173297882,2.1340091228485107,2.7188966274261475,0.47935494780540466,0.0,0.396071195602417,0.27113309502601624,0.0,0.2508625164628029,0.027171584777534008,0.8735067844390869,0.5638808807029081,ccbar,ccbar,0
96,0.0007816359284333885,0.5100250244140625,0.03188512101769447,0.26916319131851196,1.004416823387146,-0.012485318817198277,0.7144701480865479,-0.021501488983631134,0.46647119522094727,2.28521990776062,4.182921886444092,1.3224657773971558,1.5926733016967773,0.36105719208717346,0.11657222360372543,0.06875702738761902,0.5932009220123291,0.1034175455570221,0.14112402498722076,0.05232474021613598,0.878272294998169,-0.17262613002978672,ssbar,qqbar,0
2000,0.02879035286605358,0.11106020957231522,0.06866633147001266,0.09309950470924377,0.838670015335083,-0.011651006527245045,0.24266497790813446,0.18934370577335358,-0.03432994335889816,0.0,0.7608417272567749,1.0472662448883057,3.0489931106567383,1.115329384803772,1.1428859233856201,0.2494145631790161,1.0951204299926758,0.41290661692619324,0.5243157595396042,0.11333927884697914,0.6812185645103455,0.6299639454074265,mixed,bbbar,1
1654,0.004530124831944704,0.1845768541097641,0.054869312793016434,0.08751234412193298,0.766603410243988,-0.04411774128675461,0.2982316017150879,0.11963783204555511,0.03278479725122452,0.0,2.480402946472168,0.6161873936653137,0.1823100596666336,3.197166919708252,0.6821222901344299,0.21909373998641968,0.45930904150009155,0.27373287081718445,0.37409359216690063,0.05051044933497906,0.7359492182731628,-0.010733496169322232,charged,bbbar,1
97,0.054072678089141846,0.34375622868537903,0.08155914396047592,0.17346489429473877,0.8531758785247803,-0.19136956334114075,0.49139654636383057,-0.1485421359539032,0.2828921675682068,0.0,3.5775034427642822,2.88275408744812,0.546148955821991,0.10576554387807846,0.8842722177505493,0.2794540822505951,0.21685098111629486,0.5334745049476624,0.2386498600244522,0.05822848342359066,0.807651937007904,0.19961949043559782,ccbar,ccbar,0
1043,0.006758880335837603,0.05555182322859764,0.04869003966450691,0.05520119145512581,1.0114011764526367,-0.05879233032464981,0.12245620787143707,-0.17276223003864288,-0.09159639477729797,0.09645339846611023,1.6384097337722778,0.0,1.3986073732376099,0.4077991843223572,4.363709449768066,1.3499107360839844,1.4452877044677734,0.0,0.6575343757867813,0.1639874093234539,0.6024795174598694,0.48378167303366354,mixed,bbbar,1
179,0.0037815975956618786,0.2290010303258896,0.010228726081550121,0.1421804279088974,0.7873081564903259,-0.04682976379990578,0.3651394248008728,-0.04000329598784447,0.035331740975379944,0.10129883885383606,1.0768705606460571,1.7376049757003784,2.94836163520813,0.9628244638442993,0.21636220812797546,1.032468557357788,0.06693483144044876,0.18664617836475372,0.2666621133685112,0.04561193101108074,0.775248646736145,0.17808271100925738,charged,bbbar,1
219,0.007633129134774208,0.41414082050323486,0.07416548579931259,0.16316279768943787,0.8417665362358093,-0.05673057958483696,0.5383539199829102,-0.18828845024108887,0.3232484459877014,1.8977102041244507,2.539273977279663,1.8938074111938477,0.314200222492218,0.40714138746261597,1.3495160341262817,0.11445558071136475,0.33420655131340027,0.05520627647638321,0.20113342255353928,0.06500476039946079,0.8480254411697388,-0.00167602449420738,ccbar,ccbar,0
83,0.024319574236869812,0.36255064606666565,0.0896441861987114,0.13678725063800812,0.9062034487724304,-0.08806579560041428,0.5409437417984009,-0.21191635727882385,0.2602909803390503,3.616265296936035,1.03877854347229,0.7069620490074158,0.11819509416818619,3.0741477012634277,0.40211740136146545,0.3077220916748047,0.3230432868003845,0.0,0.22648738324642181,0.06785840168595314,0.8342617154121399,0.5859031699459544,uubar,qqbar,0
5,0.023938646540045738,0.3921761214733124,0.035042181611061096,0.1608065962791443,0.6152932643890381,-0.08760742098093033,0.37591683864593506,-0.004874894395470619,0.18186499178409576,0.6899852752685547,2.7634642124176025,0.07588174939155579,0.48451003432273865,2.1320607662200928,0.0,0.22329674661159515,0.14033184945583344,0.0,0.24796074628829956,0.035729119554162025,0.8422892689704895,0.9015670439485166,ccbar,ccbar,0
1823,0.02623242698609829,0.09901310503482819,0.23905391991138458,0.10347963124513626,0.6231169104576111,0.09039697051048279,0.1923605054616928,-0.23537221550941467,0.037248507142066956,1.7924853563308716,0.0,0.0,0.9857799410820007,1.725670576095581,1.215383529663086,0.0,0.04447636380791664,0.8285054564476013,0.5201075971126556,0.17308993265032768,0.6867212057113647,0.34586247360920697,mixed,bbbar,1
